variable_name,variable_label,value_labels
F_AGECAT_FINAL,Age category,"{1.0: '18-29', 2.0: '30-49', 3.0: '50-64', 4.0: '65+'}"
F_SEX_FINAL,Sex,"{1.0: 'Male', 2.0: 'Female', 9.0: 'Refused'}"
F_EDUCCAT_FINAL,Education level category,"{1.0: 'College graduate+', 2.0: 'Some college', 3.0: 'H.S. graduate or less', 9.0: ""Don't know/Refused""}"
F_EDUCCAT2_FINAL,Education level category 2,"{1.0: 'Less than high school', 2.0: 'High school graduate', 3.0: 'Some college, no degree', 4.0: 'Associate’s degree', 5.0: 'College graduate/some postgrad', 6.0: 'Postgraduate', 99.0: 'Don’t know/Refused'}"
F_HISP_RECRUITMENT,"HISP. Are you of Hispanic, Latino, or Spanish origin, such as Mexican, Puerto Rican or Cuban? - Includes RACE backcodes","{1.0: 'Yes', 2.0: 'No', 9.0: ""(VOL) Don't know/Refused""}"
F_RACECMB_RECRUITMENT,Combining Race,"{1.0: 'White', 2.0: 'Black or African-American', 3.0: 'Asian or Asian-American', 4.0: 'Mixed Race', 5.0: 'Or some other race', 9.0: ""Don't know/Refused (VOL.)""}"
F_RACETHN_RECRUITMENT,Race-Ethnicity,"{1.0: 'White non-Hispanic', 2.0: 'Black non-Hispanic', 3.0: 'Hispanic', 4.0: 'Other', 9.0: ""Don't know/Refused (VOL.)""}"
F_CITIZEN_RECODE_RECRUITMENT,Citizenship,"{1.0: 'US Citizen', 2.0: 'Not US Citizen', 9.0: 'DK US Citizen'}"
F_MARITAL_FINAL,Marital status,"{1.0: 'Married', 2.0: 'Living with a partner', 3.0: 'Divorced', 4.0: 'Separated', 5.0: 'Widowed', 6.0: 'Never been married', 99.0: 'DK/Ref'}"
F_RELIG_FINAL,Religion,"{1.0: 'Protestant', 2.0: 'Roman Catholic', 3.0: 'Mormon', 4.0: 'Orthodox', 5.0: 'Jewish', 6.0: 'Muslim', 7.0: 'Buddhist', 8.0: 'Hindu', 9.0: 'Atheist (do not believe in God)', 10.0: 'Agnostic (not sure if there is a God)', 11.0: 'Something else (SPECIFY)', 12.0: 'Nothing in particular', 13.0: '(VOL) Christian', 14.0: '(VOL) Unitarian (Universalist)', 99.0: ""(VOL) Don't know/Refused""}"
F_BORN_FINAL,"BORN. Would you describe yourself as a born-again or evangelical Christian, or not?","{1.0: 'Yes, born-again or evangelical Christian', 2.0: 'No, not born-again or evangelical Christian', 99.0: 'DK/Ref'}"
F_ATTEND_FINAL,Religious service attendance,"{1.0: 'More than once a week', 2.0: 'Once a week', 3.0: 'Once or twice a month', 4.0: 'A few times a year', 5.0: 'Seldom', 6.0: 'Never', 99.0: ""(VOL) Don't know/Refused""}"
F_PARTY_FINAL,Party,"{1.0: 'Republican', 2.0: 'Democrat', 3.0: 'Independent', 4.0: 'Something else', 99.0: 'Refused'}"
F_PARTYLN_FINAL,Party lean,"{1.0: 'The Republican Party', 2.0: 'The Democratic Party', 99.0: 'Refused'}"
F_PARTYSUM_FINAL,Party summary,"{1.0: 'Rep/lean Rep', 2.0: 'Dem/lean Dem', 9.0: 'DK/Ref-no lean'}"
F_INCOME_FINAL,Income,"{1.0: 'Less than $10,000', 2.0: '10 to under $20,000', 3.0: '20 to under $30,000', 4.0: '30 to under $40,000', 5.0: '40 to under $50,000', 6.0: '50 to under $75,000', 7.0: '75 to under $100,000', 8.0: '100 to under $150,000 [OR]', 9.0: '$150,000 or more', 99.0: ""(VOL) Don't know/Refused""}"
F_INCOME_RECODE_FINAL,Income recode,"{1.0: '$75,000+', 2.0: '$30-$74,999', 3.0: '<$30,000', 99.0: ""Don't know/Refused""}"
F_REG_FINAL,Registered voter,"{1.0: 'You are ABSOLUTELY CERTAIN that you are registered to vote at your current address', 2.0: 'You are PROBABLY registered, but there is a chance your registration has lapsed', 3.0: 'You are NOT registered to vote at your current address', 99.0: 'Refused'}"
F_IDEO_FINAL,Ideology,"{1.0: 'Very conservative', 2.0: 'Conservative', 3.0: 'Moderate', 4.0: 'Liberal', 5.0: 'Very liberal', 99.0: 'Refused'}"
F_IDEOCONSISTREC_RECRUITMENT,Ideological consistency recode,"{1.0: 'Consistent Lib', 2.0: 'Lean Lib', 3.0: 'Inconsistent', 4.0: 'Lean Cons', 5.0: 'Consistent Cons'}"
F_INTUSER_FINAL,Household internet status,"{0.0: 'Not Internet User', 1.0: 'Internet User'}"
F_INSURANCE_FINAL,Health insurance status,"{1.0: 'Covered by health insurance', 2.0: 'Not covered by health insurance', 99.0: 'Refused'}"
F_INT_FREQ1_FINAL,INT_FREQ1. How often did you USUALLY access the Internet over the last year?,"{1.0: 'Every day', 2.0: 'At least once a week but not every day', 3.0: 'Once a week', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Never', 99.0: 'Refused'}"
F_INT_FREQCOMB_FINAL,Frequency of Internet use combined,"{1.0: 'Use the Internet constantly', 2.0: 'Use the Internet many times a day', 3.0: 'Use the Internet a few times a day', 4.0: 'Use the Internet about once a day', 5.0: 'Use the Internet at least once a week but not every day', 6.0: 'Use the Internet once a week', 7.0: 'Use the Internet once a month', 8.0: 'Use the Internet less than once a month', 9.0: 'Never use the Internet'}"
F_SNSUSER_FINAL,Social Media Users,"{1.0: 'Social Media Users', 2.0: 'Not Social Media Users'}"
F_BBINT_RF1,"BBINT. Does your household currently subscribe to some type of high-speed internet service (such as cable internet, DSL, FIOS, or satellite internet service), not including a data plan you might have for a cell phone?","{1.0: 'Yes, have high-speed internet service at home', 2.0: 'No, do not have high-speed internet service', 3.0: 'Not sure', 99.0: 'Refused'}"
pos_m1_cars6,CARS6 positive mention1,"{1.0: 'Safety', 2.0: 'Can do other things while driving', 3.0: 'For the experience', 4.0: 'Independence', 5.0: 'Less stressul', 6.0: 'Good for long trips', 7.0: 'Convenience', 98.0: 'Other', 99.0: 'Refused / No answer'}"
pos_m2_cars6,CARS6 positive mention2,"{1.0: 'Safety', 2.0: 'Can do other things while driving', 3.0: 'For the experience', 4.0: 'Independence', 5.0: 'Less stressul', 6.0: 'Good for long trips', 7.0: 'Convenience', 98.0: 'Other', 99.0: 'Refused / No answer'}"
pos_m3_cars6,CARS6 positive mention3,"{1.0: 'Safety', 2.0: 'Can do other things while driving', 3.0: 'For the experience', 4.0: 'Independence', 5.0: 'Less stressul', 6.0: 'Good for long trips', 7.0: 'Convenience', 98.0: 'Other', 99.0: 'Refused / No answer'}"
CARS6pos1,CARS6pos1 Safety (What is the main reason you would want to ride in a driverless vehicle),{1.0: 'More safe'}
CARS6pos2,CARS6pos2 Can do other things while driving (What is the main reason you would want to ride in a driverless vehicle),{1.0: 'Can do other things while driving'}
CARS6pos3,CARS6pos3 For the experience (What is the main reason you would want to ride in a driverless vehicle),{1.0: 'For the experience'}
CARS6pos4,CARS6pos4 Independence (What is the main reason you would want to ride in a driverless vehicle),{1.0: 'Greater independence'}
CARS6pos5,CARS6pos5 Less stressful (What is the main reason you would want to ride in a driverless vehicle),{1.0: 'Less stressful'}
CARS6pos6,CARS6pos6 Good for long trips (What is the main reason you would want to ride in a driverless vehicle),{1.0: 'Good for long trips'}
CARS6pos7,CARS6pos7 Convenience (What is the main reason you would want to ride in a driverless vehicle),{1.0: 'Convenience'}
CARS6posOther,CARS6posOther Other (What is the main reason you would want to ride in a driverless vehicle),{98.0: 'Other'}
CARS6posREF,CARS6posREF Refused / No answer (What is the main reason you would want to ride in a driverless vehicle),{99.0: 'Refused / No answer'}
neg_m1_cars6,CARS6 negative mention1,"{1.0: 'Safety', 2.0: 'Enjoy driving', 3.0: 'Technology not ready', 4.0: 'Potential for hacking', 5.0: 'Trust/Control issues', 98.0: 'Other', 99.0: 'Refused / No answer'}"
neg_m2_cars6,CARS6 negative mention2,"{1.0: 'Safety', 2.0: 'Enjoy driving', 3.0: 'Technology not ready', 4.0: 'Potential for hacking', 5.0: 'Trust/Control issues', 6.0: 'Other', 99.0: 'Refused / No answer'}"
neg_m3_cars6,CARS6 negative mention3,"{1.0: 'Safety', 2.0: 'Enjoy driving', 3.0: 'Technology not ready', 4.0: 'Potential for hacking', 5.0: 'Trust/Control issues', 6.0: 'Other', 99.0: 'Refused / No answer'}"
CARS6neg1,CARS6neg1 Safety (What is the main reason you would NOT want to ride in a driverless vehicle),{1.0: 'Safety concerns'}
CARS6neg2,CARS6neg2 Enjoy driving (What is the main reason you would NOT want to ride in a driverless vehicle),{1.0: 'Enjoy driving'}
CARS6neg3,CARS6neg3 Technology not ready yet (What is the main reason you would NOT want to ride in a driverless vehicle),{1.0: 'Technology not developed enough yet'}
CARS6neg4,CARS6neg4 Potential for hacking (What is the main reason you would NOT want to ride in a driverless vehicle),{1.0: 'Worries about hacking'}
CARS6neg5,CARS6neg5 Trust/Control issues (What is the main reason you would NOT want to ride in a driverless vehicle),{1.0: 'Lack of trust / No control'}
CARS6negOther,CARS6neg6 Other (What is the main reason you would NOT want to ride in a driverless vehicle),{1.0: 'Other'}
CARS6negREF,CARS6negREF Refused / No answer (What is the main reason you would NOT want to ride in a driverless vehicle),{99.0: 'Refused'}
HIRING5pos_m1,HIRING5 positive mention1,"{1.0: 'More fair', 2.0: 'Already in use', 3.0: 'I would score well', 4.0: 'Would do whatever it took', 5.0: 'Better decisions', 98.0: 'Other', 99.0: 'Refused / No answer'}"
HIRING5pos_m2,HIRING5 positive mention2,"{1.0: 'More fair', 2.0: 'Already in use', 3.0: 'I would score well', 4.0: 'Would do whatever it took', 5.0: 'Better decisions', 98.0: 'Other', 99.0: 'Refused / No answer'}"
HIRING5pos_m3,HIRING5 positive mention3,"{1.0: 'More fair', 2.0: 'Already in use', 3.0: 'I would score well', 4.0: 'Would do whatever it took', 5.0: 'Better decisions', 98.0: 'Other', 99.0: 'Refused / No answer'}"
HIRING5pos1,HIRING5pos1 More fair / Less biased (What is the main reason you would want to use a hiring algorithm?),{1.0: 'More fair / less biased'}
HIRING5pos2,HIRING5pos2 They are already being used (What is the main reason you would want to use a hiring algorithm?),{1.0: 'Already being used'}
HIRING5pos3,HIRING5pos3 I would score well (What is the main reason you would want to use a hiring algorithm?),{1.0: 'I would score well'}
HIRING5pos4,HIRING5pos4 Would do what it took to get the job (What is the main reason you would want to use a hiring algorithm?),{1.0: 'Would do what it took to get the job'}
HIRING5pos5,HIRING5pos5 Would make better decisions than humans (What is the main reason you would want to use a hiring algorithm?),{1.0: 'Would make better decisions than humans'}
HIRING5posOTHER,HIRING5posOTHER Other (What is the main reason you would want to use a hiring algorithm?),{98.0: 'Other'}
HIRING5posREF,HIRING5posREF Refused / No answer (What is the main reason you would want to use a hiring algorithm?),{99.0: 'Refused / No answer'}
HIRING5neg_m1,HIRING5 negative mention1,"{1.0: ""Can't capture everything about applicant"", 2.0: 'Applicants can game system', 3.0: 'More biased', 4.0: 'Too impersonal', 5.0: 'Not in job market', 6.0: 'Would not score well', 98.0: 'Other', 99.0: 'Refused / No answer'}"
HIRING5neg_m2,HIRING5 negative mention2,"{1.0: ""Can't capture everything about applicant"", 2.0: 'Applicants can game system', 3.0: 'More biased', 98.0: 'Other', 99.0: 'Refused / No answer'}"
HIRING5neg1,HIRING5neg1 Can't capture everything about applicant (What is the main reason you would not want to use a hiring algorithm?),"{1.0: ""Can't capture everything about applicant""}"
HIRING5neg2,HIRING5neg2 Applicants can game system (What is the main reason you would not want to use a hiring algorithm?),{1.0: 'Applicants can game system'}
HIRING5neg3,HIRING5neg3 More biased (What is the main reason you would not want to use a hiring algorithm?),{1.0: 'More biased'}
HIRING5neg4,HIRING5neg4 Too impersonal (What is the main reason you would not want to use a hiring algorithm?),{1.0: 'Too impersonal'}
HIRING5neg5,HIRING5neg5 Not in job market (What is the main reason you would not want to use a hiring algorithm?),{1.0: 'Not in job market'}
HIRING5neg6,HIRING5neg6 Would not score well (What is the main reason you would not want to use a hiring algorithm?),{1.0: 'Would not score well'}
HIRING5negOTHER,HIRING5negOTHER Other (What is the main reason you would not want to use a hiring algorithm?),{98.0: 'Other'}
HIRING5negREF,HIRING5negREF Refused (What is the main reason you would not want to use a hiring algorithm?),{99.0: 'Refused / No answer'}
CAREGIV5pos_m1,CAREGIV5 positive mention1,"{1.0: 'Save money', 2.0: 'Always available', 3.0: 'Reduce burden on family', 4.0: 'Greater independence', 5.0: 'Better quality of care', 6.0: 'Can do physically challenging tasks', 7.0: 'Good for those with no family nearby', 8.0: 'Companion', 9.0: 'Safety / Security', 10.0: 'Household assistance', 11.0: 'Cool factor', 98.0: 'Other', 99.0: 'Refused / No answer'}"
CAREGIV5pos_m2,CAREGIV5 positive mention2,"{1.0: 'Save money', 2.0: 'Always available', 3.0: 'Reduce burden on family', 4.0: 'Greater independence', 5.0: 'Better quality of care', 6.0: 'Can do physically challenging tasks', 7.0: 'Good for those with no family nearby', 8.0: 'Companion', 9.0: 'Safety / Security', 10.0: 'Household assistance', 11.0: 'Cool factor', 98.0: 'Other', 99.0: 'Refused / No answer'}"
CAREGIV5pos_m3,CAREGIV5 positive mention3,"{1.0: 'Save money', 2.0: 'Always available', 3.0: 'Reduce burden on family', 4.0: 'Greater independence', 5.0: 'Better quality of care', 6.0: 'Can do physically challenging tasks', 7.0: 'Good for those with no family nearby', 8.0: 'Companion', 9.0: 'Safety / Security', 10.0: 'Household assistance', 11.0: 'Cool factor', 98.0: 'Other', 99.0: 'Refused / No answer'}"
caregiv5pos1,CAREGIV5pos1 Cost (What is the main reason you would want to use a robot caregiver),{1.0: 'Cost'}
caregiv5pos2,CAREGIV5pos2 Always available (What is the main reason you would want to use a robot caregiver),{1.0: 'Always available'}
caregiv5pos3,CAREGIV5pos3 Reduce burden on family (What is the main reason you would want to use a robot caregiver),{1.0: 'Reduce burden on family'}
caregiv5pos4,CAREGIV5pos4 Would help older people be more independent (What is the main reason you would want to use a robot caregiver),{1.0: 'Help older people be more independent'}
caregiv5pos5,CAREGIV5pos5 Better quality of care (What is the main reason you would want to use a robot caregiver),{1.0: 'Better quality of care'}
caregiv5pos6,CAREGIV5pos6 Can do tasks that humans find physically challenging (What is the main reason you would want to use a robot caregiver),{1.0: 'Can do physically challenging tasks'}
caregiv5pos7,CAREGIV5pos7 Good for those with no family or no family nearby (What is the main reason you would want to use a robot caregiver),"{1.0: 'Good for people with no family, or no family nearby'}"
caregiv5pos8,CAREGIV5pos8 Would be good companion (What is the main reason you would want to use a robot caregiver),{1.0: 'Would be good companion'}
caregiv5pos9,CAREGIV5pos9 Safety/Security (What is the main reason you would want to use a robot caregiver),{1.0: 'Safety/Security'}
caregiv5pos10,CAREGIV5pos10 Household assistance (What is the main reason you would want to use a robot caregiver),{1.0: 'Household assistance'}
caregiv5pos11,CAREGIV5pos11 Cool factor (What is the main reason you would want to use a robot caregiver),{1.0: 'Cool factor'}
caregiv5posOther,CAREGIV5posOther Other (What is the main reason you would want to use a robot caregiver),{98.0: 'Other'}
caregiv5posREF,CAREGIV5posREF Refused / No answer (What is the main reason you would want to use a robot caregiver),{99.0: 'Refused / No answer'}
CAREGIV5neg_m1,CAREGIV5 negative mention1,"{1.0: 'Human factor lacking', 2.0: 'Cost', 3.0: 'Worried about errors', 4.0: 'Not advanced enough yet', 5.0: ""Caregiving is family's job"", 6.0: ""Just don't like it"", 98.0: 'Other', 99.0: 'Refused / No answer'}"
CAREGIV5neg_m2,CAREGIV5 negative mention2,"{1.0: 'Human factor lacking', 2.0: 'Cost', 3.0: 'Worried about errors', 4.0: 'Not advanced enough yet', 5.0: ""Caregiving is family's job"", 6.0: ""Just don't like it"", 98.0: 'Other', 99.0: 'Refused / No answer'}"
caregiv5neg1,CAREGIV5neg1 No human touch (What is the main reason you would not want to use a robot caregiver),{1.0: 'No human touch'}
caregiv5neg2,CAREGIV5neg2 Cost (What is the main reason you would not want to use a robot caregiver),{1.0: 'Cost'}
caregiv5neg3,CAREGIV5neg3 Possibility of errors (What is the main reason you would not want to use a robot caregiver),{1.0: 'Possibility of errors'}
caregiv5neg4,CAREGIV5neg4 Not advanced enough yet (What is the main reason you would not want to use a robot caregiver),{1.0: 'Not advanced enough yet'}
caregiv5neg5,CAREGIV5neg5 Caregiving is family's job (What is the main reason you would not want to use a robot caregiver),"{1.0: ""Caregiving is family's job""}"
caregiv5neg6,CAREGIV5neg6 Just don't like it (What is the main reason you would not want to use a robot caregiver),"{1.0: ""Just don't like it""}"
caregiv5neg7,CAREGIV5neg7 Would scare people with dementia (What is the main reason you would not want to use a robot caregiver),{1.0: 'Would scare people with dementia'}
caregiv5negOther,CAREGIV5negOther Other (What is the main reason you would not want to use a robot caregiver),{98.0: 'Other'}
caregiv5negREF,CAREGIV5negREF Refused / No answer(What is the main reason you would not want to use a robot caregiver),{99.0: 'DK/REF'}
WORKCAT_11,STEM (Coded response to WORK1),{1.0: 'STEM'}
WORKCAT_12,"Science, general (Coded response to WORK1)","{1.0: 'Science, general'}"
WORKCAT_13,Technology (Coded response to WORK1),{1.0: 'Technology'}
WORKCAT_14,Mathematics (Coded response to WORK1),{1.0: 'Mathematics'}
WORKCAT_15,Engineering (Coded response to WORK1),{1.0: 'Engineering'}
WORKCAT_16,Health care or medicine (Coded response to WORK1),{1.0: 'Health care or medicine'}
WORKCAT_21,"Business, general (Coded response to WORK1)",{1.0: 'Business (general)'}
WORKCAT_22,"Accounting, finance, banking (Coded response to WORK1)","{1.0: 'Accounting, finance, banking'}"
WORKCAT_31,Skilled trades (Coded response to WORK1),{1.0: 'Skilled trades'}
WORKCAT_41,"Government, public service (Coded response to WORK1)",{1.0: 'Government and public service'}
WORKCAT_42,"Education, teacher, professor (Coded response to WORK1)","{1.0: 'Education, teacher'}"
WORKCAT_43,Military (Coded response to WORK1),{1.0: 'Military'}
WORKCAT_51,"Law, lawyer, law enforcement (Coded response to WORK1)","{1.0: 'Law, lawyer, law enforcement'}"
WORKCAT_61,Follow your passion (Coded response to WORK1),{1.0: 'Something that interests you'}
WORKCAT_62,Job that matches your skills (Coded response to WORK1),{1.0: 'Job that matches your skills'}
WORKCAT_63,A good job (Coded response to WORK1),{1.0: 'A good job'}
WORKCAT_64,Depends on the individual (Coded response to WORK1),{1.0: 'Depends on the individual'}
WORKCAT_65,Don't be a [X] (Coded response to WORK1),"{1.0: ""Don't follow a certain profession""}"
WORKCAT_66,Need a college education (Coded response to WORK1),{1.0: 'Need a college education'}
WORKCAT_67,Focus on broad skills (Coded response to WORK1),{1.0: 'Focus on broad skills'}
WORKCAT_68,Something that helps others (Coded response to WORK1),{1.0: 'Something that helps others'}
WORKCAT_23,Entrepreneur / Start own business (Coded response to WORK1),{1.0: 'Start own business'}
WORKCAT_99,Other responses (Coded response to WORK1),"{97.0: 'Other', 98.0: ""Don't know / Not sure"", 99.0: 'Refused'}"
WEIGHT_W27,Wave 27 weight,{}
